一階,いっかい,数,,一楼,
そうですか,,组,,是么,
何,なに,代,,什么,
幾つ,いくつ,名,,多少、几个；几岁,
いいえ,,叹,,不、不是,
何処,どこ,代,,何处、哪里,
さあ,,叹,,用于劝诱、催促或迟疑,
どうぞお入りください,どうぞおはいりください,组,,请进,
此処,ここ,代,,这儿、这里,
本棚,ほんだな,名,,书架、书橱,
彼処,あそこ,代,,那儿、那里（远称）,
違います,ちがいませ,自五,,不同、不对,
色色,いろいろ,名,副,各种各样、形形色色,
,,形动,,,
どうもありがとうござ,,寒暄语,,谢谢,
います,,,,,
どういたしまして,,寒暄语,,不用谢,
失礼します,しつれいします,自サ,,告辞,
さようなら,,寒暄语,,再见,
第四課,がくえんとし,,,,
客,きゃく,名,,客人,
去年,きょねん,名,,去年,
逆,ぎゃく,名,,相反,
金魚,きんぎょ,名,,金鱼,
写真,しゃしん,名,,照片,
宿題,しゅくだい,名,,课外作业,
辞書,じしょ,名,,辞典,
邪魔,じゃま,名 他サ,,妨碍、干扰,
受験,じゅけん,名 他サ,,应试,
彼女,かのじょ,代,,她,
茶碗,ちゃわん,名,,茶碗、饭碗,
貯金,ちょきん,名,,存款、储蓄,
蒟蒻,こんにゃく,名,,蒟蒻、魔芋,
如実,にょじつ,名,,如实,
百,ひゃく,名,,一百、许多,
略する,りゃくする,他サ,,省略,
旅行,りょこう,名 自サ,,旅行,
休暇,きゅうか,名,,休假,
今日,きょう,名,,今天,
牛肉,ぎゅうにく,名,,牛肉,
授業,じゅぎょう,名 自サ,,上课,
習慣,しゅうかん,名,,习惯,
小学校,しゅうがっこう,名,,小学,
ジュース,Juice,名,,果汁,
上手,じょうず,形动,,（技术）好,
中国,ちゅうごく,名,,中国,
チョーク,Chalk,名,,粉笔,
ニュース,News,名,,新闻、消息,
女房,にょうぼう,名,,妻、老婆,
ヒューマニズム,Humanism,名,,人道主义,
評判,ひょうばん,名,,评价,
交流,こうりゅう,名,,交流,
寮,りょう,名,,宿舍,
上海,シャンハイ,专,,上海,
瞬間,しゅんかん,名,,瞬间,
出張,しゅっちょう,名 自サ,,出差,
ちょっと,,副,,一点、稍微,
学園都市,がくえんとし,名,,大学城,
辺り,あたり,名,,附近、周围,
キャンパス,Campus,名,,大学校园,
皆,みんな,副,,全部、都,
新しい,あたらしい,形,,新的,
私たち,わたしたち,代,,我们,
建物,たてもも,名,,建筑物,
図書館,としょかん,名,,图书馆,
その,,名,,那,
閲覧室,えつらんしつ,名,,阅览室,
あの,,名,,那（远称）,
ゲストハウス,Guest house,名,,招待所,
朝,あさ,名,,早晨,
教室,きょうしつ,名,,教室,
います,,自一,,有；在,
午後,ごご,名,,下午,
夜,よる,名,,晚上、夜里,
広場,ひろば,名,,广场,
池,いけ,名,,池、池塘,
綺麗,きれい,形动,,漂亮的、干净的,
地下鉄,ちかてつ,名,,地铁,
駅,えき,名,,车站,
交通,こうつう,名,,交通,
とても,,副,,很、非常,
これから,,组,,从现在起；现在,
わざわざ,,副,,特意、故意,
広い,ひろい,形,,宽敞的,
ええ,,叹,,唉、好吧,
立派,りっぱ,形动,,美观的；出色的,
体育館,たいいくかん,名,,体育馆,
いつも,,副,,经常；平日,
誰,だれ,代,,谁,
留学生,りゅうがくせい,名,,留学生,
友人,ゆうじん,名,,友人、朋友,
どの,,名,,哪个,
赤い,あかい,形,,红的,
静か,しずか,形动,,安静的,
賑やか,にぎやか,形动,,热闹的,
所,ところ,名,,地方,
何人,なんにん,名,,多少人,
万,まん,数,,万,
…にん,人,接尾,,……名……人,
花,はな,名,,花,
草,くさ,名,,草,
沢山,たくさん,副,,许多、很多,
食堂,しょくどう,名,,食堂,
あっ,,叹,,啊、呀、哎呀,
もう,,副,,已经、快要,
食事,しょくじ,名,,用餐,
時間,じかん,名,,时间,
第五課,シャンハイのワイタン,,,,
ワイタン,,专,,外滩（地名）,
無錫,むしゃく,专,,无锡（城市名）,
国慶節,こっけいせつ,专,,国庆节,
天気,てんき,名,,天气,
それで,,接续,,因此、所以,
行きます,いきます,自五,,去,
